scenario,quarter_index,quarter,country,composite_score_p10,composite_score_median,composite_score_p90,rank_p10,rank_median,rank_p90,implementation_score_median,innovation_score_median,investment_score_median,talent_score_median,infrastructure_score_median,operating_environment_score_median,research_score_median,development_score_median,commercial_ecosystem_score_median,government_strategy_score_median
baseline,1,2026Q1,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,1,2026Q1,China,49.998453436799984,49.998453436799984,49.998453436799984,2.0,2.0,2.0,33.8013536816,70.8754281382221,42.51350548596991,17.608435999999998,63.96388299999999,65.70797,77.735177,62.022,28.162943,94.87
baseline,1,2026Q1,France,26.344510560399996,26.344510560399996,26.344510560399996,10.0,10.0,10.0,31.81229328586667,21.848636188868372,24.93730215128101,23.834751999999998,37.703493,65.93375,28.084822,13.8,6.775143,91.2
baseline,1,2026Q1,Germany,30.139545360399993,30.139545360399993,30.139545360399993,7.0,7.0,7.0,35.78758321866667,28.15290441150092,24.589001996746646,32.084827,35.029208999999994,58.791722,36.309284,17.625999999999998,8.126687,84.65
baseline,1,2026Q1,India,28.832275047799993,28.832275047799993,28.832275047799993,8.0,8.0,8.0,46.630735780799995,19.170401434977578,16.58499368035787,55.65415699999999,18.771287,51.527429000000005,19.67744,18.516,5.005922,58.83
baseline,1,2026Q1,Israel,27.65212443879999,27.65212443879999,27.65212443879999,9.0,9.0,9.0,39.33287399306666,19.141719615932473,22.95921425376169,39.53744699999999,30.116510999999996,57.058828,20.810449000000002,16.988,17.216745,43.91
baseline,1,2026Q1,Japan,22.934060240999997,22.934060240999997,22.934060240999997,12.0,12.0,12.0,20.479713075200003,25.078310421524666,23.371209259861732,9.805549,40.800648,40.613047,20.311903,31.23,10.053349,71.96
baseline,1,2026Q1,Singapore,33.038641044599984,33.038641044599984,33.038641044599984,4.0,4.0,4.0,51.814709428799986,18.36979568662622,27.01966435136234,56.248363999999995,42.13708899999999,45.990356,20.415143,15.729999999999999,12.547448000000001,79.82
baseline,1,2026Q1,South Korea,37.781293510599994,37.781293510599994,37.781293510599994,3.0,3.0,3.0,31.255939021866666,51.83606237509893,26.064518629524198,21.777202999999997,48.873993999999996,50.010816000000005,25.094224,86.35000000000001,9.225467,87.5
baseline,1,2026Q1,Spain,22.141652517199994,22.141652517199994,22.141652517199994,13.0,13.0,13.0,32.182436782399996,11.25003292218412,23.620785860105734,28.328127999999992,30.508564999999997,57.942934,14.789403,6.6819999999999995,5.075851,91.28
baseline,1,2026Q1,UAE,25.56516333899999,25.56516333899999,25.56516333899999,11.0,11.0,11.0,39.10831308586666,8.077257411764707,31.87254024806832,34.13514299999999,50.14824,45.262485999999996,7.100418,9.338,18.302879,81.38
baseline,1,2026Q1,United Kingdom,32.50625984399999,32.50625984399999,32.50625984399999,6.0,6.0,6.0,37.38945935893333,30.127651992614076,28.72639167954453,35.37574299999999,31.680918,60.76709700000001,40.96081399999999,16.146,13.899698,82.82
baseline,1,2026Q1,United States of America,76.66639400359998,76.66639400359998,76.66639400359998,1.0,1.0,1.0,73.72280236693332,74.9313144711158,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.004,85.5956,77.39
baseline,2,2026Q2,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,2,2026Q2,China,50.09597500541066,50.10144477229399,50.10448465048981,2.0,2.0,2.0,33.8013536816,70.99774757736395,42.74967767650456,17.608435999999998,63.96388299999999,65.70797,77.84205255855514,62.16070075060753,28.46384839716307,94.87
baseline,2,2026Q2,France,26.415093451479382,26.418053073928398,26.422775359310275,10.0,10.0,10.0,31.81229328586667,21.901815896645566,25.1592599552707,23.834751999999998,37.703493,65.93375,28.179206022557743,13.8,7.057937943010701,91.2
baseline,2,2026Q2,Germany,30.206614308302214,30.209825680239383,30.213625612433116,7.0,7.0,7.0,35.78758321866667,28.19869091245348,24.80801258633941,32.084827,35.029208999999994,58.791722,36.390546464939675,17.625999999999998,8.405726916999278,84.65
baseline,2,2026Q2,India,28.90751117805239,28.911338287740982,28.91445776899598,8.0,8.0,8.0,46.66903745582323,19.23083438646715,16.754566785458852,55.71263879207537,18.771287,51.527429000000005,19.67744,18.654429800058587,5.2219739510069,58.83
baseline,2,2026Q2,Israel,27.722523462867848,27.72611830633511,27.729597752936982,9.0,9.0,9.0,39.37783104776231,19.20468736000694,23.09619994339826,39.606090711363464,30.116510999999996,57.058828,20.810449000000002,17.13223608325457,17.391277544464415,43.91
baseline,2,2026Q2,Japan,23.012088572284075,23.01628617602179,23.019152324993655,12.0,12.0,12.0,20.539072623445403,25.135587993279245,23.52663664417963,9.896183489381208,40.800648,40.613047,20.311903,31.361201978562907,10.251377983439228,71.96
baseline,2,2026Q2,Singapore,33.11286254780189,33.116310774971396,33.11991841800258,4.0,4.0,4.0,51.857133100276485,18.437492129971133,27.168708963940702,56.31313955701825,42.13708899999999,45.990356,20.415143,15.885067804664994,12.737344736958647,79.82
baseline,2,2026Q2,South Korea,37.84585094611951,37.85052288830316,37.852953396739665,3.0,3.0,3.0,31.31574646106794,51.85594738589424,26.222515520770912,21.868521361972626,48.873993999999996,50.010816000000005,25.094224,86.39554929058914,9.426769774909676,87.5
baseline,2,2026Q2,Spain,22.215017759936025,22.217962501110055,22.223108412759697,13.0,13.0,13.0,32.182436782399996,11.308122404377674,23.847638514759126,28.328127999999992,30.508564999999997,57.942934,14.892500952713373,6.6819999999999995,5.364882439270826,91.28
baseline,2,2026Q2,UAE,25.64662744879824,25.65042294857081,25.654458712188458,11.0,11.0,11.0,39.176441499232496,8.151089801297886,32.004922956143425,34.23916643246004,50.14824,45.262485999999996,7.100418,9.5071230143325,18.471546916661495,81.38
baseline,2,2026Q2,United Kingdom,32.57011840762093,32.572690201083404,32.57695347410681,6.0,6.0,6.0,37.38945935893333,30.17296749776507,28.930498788851388,35.37574299999999,31.680918,60.76709700000001,41.041240535593346,16.146,14.159749493153143,82.82
baseline,2,2026Q2,United States of America,76.68788447694992,76.6911492986084,76.69290951287833,1.0,1.0,1.0,73.72280236693332,74.99661464259671,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.1535788218031,85.5956,77.39
rec1_only,1,2026Q1,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
rec1_only,1,2026Q1,China,49.998453436799984,49.998453436799984,49.998453436799984,2.0,2.0,2.0,33.8013536816,70.8754281382221,42.51350548596991,17.608435999999998,63.96388299999999,65.70797,77.735177,62.022,28.162943,94.87
rec1_only,1,2026Q1,France,26.344510560399996,26.344510560399996,26.344510560399996,10.0,10.0,10.0,31.81229328586667,21.848636188868372,24.93730215128101,23.834751999999998,37.703493,65.93375,28.084822,13.8,6.775143,91.2
rec1_only,1,2026Q1,Germany,30.139545360399993,30.139545360399993,30.139545360399993,7.0,7.0,7.0,35.78758321866667,28.15290441150092,24.589001996746646,32.084827,35.029208999999994,58.791722,36.309284,17.625999999999998,8.126687,84.65
rec1_only,1,2026Q1,India,28.832275047799993,28.832275047799993,28.832275047799993,8.0,8.0,8.0,46.630735780799995,19.170401434977578,16.58499368035787,55.65415699999999,18.771287,51.527429000000005,19.67744,18.516,5.005922,58.83
rec1_only,1,2026Q1,Israel,27.65212443879999,27.65212443879999,27.65212443879999,9.0,9.0,9.0,39.33287399306666,19.141719615932473,22.95921425376169,39.53744699999999,30.116510999999996,57.058828,20.810449000000002,16.988,17.216745,43.91
rec1_only,1,2026Q1,Japan,22.934060240999997,22.934060240999997,22.934060240999997,12.0,12.0,12.0,20.479713075200003,25.078310421524666,23.371209259861732,9.805549,40.800648,40.613047,20.311903,31.23,10.053349,71.96
rec1_only,1,2026Q1,Singapore,33.038641044599984,33.038641044599984,33.038641044599984,4.0,4.0,4.0,51.814709428799986,18.36979568662622,27.01966435136234,56.248363999999995,42.13708899999999,45.990356,20.415143,15.729999999999999,12.547448000000001,79.82
rec1_only,1,2026Q1,South Korea,37.781293510599994,37.781293510599994,37.781293510599994,3.0,3.0,3.0,31.255939021866666,51.83606237509893,26.064518629524198,21.777202999999997,48.873993999999996,50.010816000000005,25.094224,86.35000000000001,9.225467,87.5
rec1_only,1,2026Q1,Spain,22.141652517199994,22.141652517199994,22.141652517199994,13.0,13.0,13.0,32.182436782399996,11.25003292218412,23.620785860105734,28.328127999999992,30.508564999999997,57.942934,14.789403,6.6819999999999995,5.075851,91.28
rec1_only,1,2026Q1,UAE,25.56516333899999,25.56516333899999,25.56516333899999,11.0,11.0,11.0,39.10831308586666,8.077257411764707,31.87254024806832,34.13514299999999,50.14824,45.262485999999996,7.100418,9.338,18.302879,81.38
rec1_only,1,2026Q1,United Kingdom,32.50625984399999,32.50625984399999,32.50625984399999,6.0,6.0,6.0,37.38945935893333,30.127651992614076,28.72639167954453,35.37574299999999,31.680918,60.76709700000001,40.96081399999999,16.146,13.899698,82.82
rec1_only,1,2026Q1,United States of America,76.66639400359998,76.66639400359998,76.66639400359998,1.0,1.0,1.0,73.72280236693332,74.9313144711158,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.004,85.5956,77.39
rec1_only,2,2026Q2,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
rec1_only,2,2026Q2,China,50.09730426792528,50.105947079487265,50.1108267779358,2.0,2.0,2.0,33.8013536816,70.99647555684511,42.767181456450466,17.608435999999998,63.96388299999999,65.70797,77.83654959314987,62.17062134092226,28.486149845291035,94.87
rec1_only,2,2026Q2,France,26.416681017175645,26.421318615721574,26.424173686846007,10.0,10.0,10.0,31.81229328586667,21.903195157092675,25.163139538779006,23.834751999999998,37.703493,65.93375,28.181653951562886,13.8,7.062880894226726,91.2
rec1_only,2,2026Q2,Germany,30.20831188309462,30.21266025747699,30.215191457995967,7.0,7.0,7.0,35.78758321866667,28.19987842386366,24.811339465020545,32.084827,35.029208999999994,58.791722,36.39265407531233,17.625999999999998,8.409965670717884,84.65
rec1_only,2,2026Q2,India,28.905506131489776,28.909837723017198,28.915875326784537,8.0,8.0,8.0,46.66936125969026,19.22750100529942,16.756467790613108,55.71313319944563,18.771287,51.527429000000005,19.67744,18.646794242350513,5.224396008869238,58.83
rec1_only,2,2026Q2,Israel,27.720862639433683,27.72490911176414,27.730580151086958,9.0,9.0,9.0,39.37821111647084,19.20121416389292,23.097683922211104,39.60667102799904,30.116510999999996,57.058828,20.810449000000002,17.124280260615144,17.393168271874146,43.91
rec1_only,2,2026Q2,Japan,23.010126508673164,23.015369770375536,23.021145929559555,12.0,12.0,12.0,20.539574451400846,25.132428657613623,23.528826976737307,9.896949716919034,40.800648,40.613047,20.311903,31.35396509547627,10.254168671397428,71.96
rec1_only,2,2026Q2,Singapore,33.111173776325344,33.11511999673294,33.12135648265758,4.0,4.0,4.0,51.857491751663645,18.43375810666421,27.170465040928093,56.31368717212487,42.13708899999999,45.990356,20.415143,15.87651452227433,12.739582142819783,79.82
rec1_only,2,2026Q2,South Korea,37.84484835392162,37.849921145920746,37.85458075191426,3.0,3.0,3.0,31.316252075511137,51.85485056174663,26.224811420298906,21.869293370996232,48.873993999999996,50.010816000000005,25.094224,86.3930368674208,9.429694965033683,87.5
rec1_only,2,2026Q2,Spain,22.216312856720393,22.221410894710715,22.224393536007984,13.0,13.0,13.0,32.182436782399996,11.309629003953553,23.850204268770156,28.328127999999992,30.508564999999997,57.942934,14.895174884825806,6.6819999999999995,5.368151449174,91.28
rec1_only,2,2026Q2,UAE,25.645497418308846,25.65021182467236,25.656954618271538,11.0,11.0,11.0,39.17701745951854,8.147017329396844,32.00955626142884,34.240045850649224,50.14824,45.262485999999996,7.100418,9.497794469935608,18.477450179716854,81.38
rec1_only,2,2026Q2,United Kingdom,32.57195010398797,32.57570046399033,32.57819505307874,6.0,6.0,6.0,37.38945935893333,30.17414279350301,28.93523246671195,35.37574299999999,31.680918,60.76709700000001,41.04332646543536,16.146,14.165780640230405,82.82
rec1_only,2,2026Q2,United States of America,76.68968434606775,76.69291992449774,76.69550569425745,1.0,1.0,1.0,73.72280236693332,75.0012852463671,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.16427746766023,85.5956,77.39
rec2_only,1,2026Q1,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
rec2_only,1,2026Q1,China,49.998453436799984,49.998453436799984,49.998453436799984,2.0,2.0,2.0,33.8013536816,70.8754281382221,42.51350548596991,17.608435999999998,63.96388299999999,65.70797,77.735177,62.022,28.162943,94.87
rec2_only,1,2026Q1,France,26.344510560399996,26.344510560399996,26.344510560399996,10.0,10.0,10.0,31.81229328586667,21.848636188868372,24.93730215128101,23.834751999999998,37.703493,65.93375,28.084822,13.8,6.775143,91.2
rec2_only,1,2026Q1,Germany,30.139545360399993,30.139545360399993,30.139545360399993,7.0,7.0,7.0,35.78758321866667,28.15290441150092,24.589001996746646,32.084827,35.029208999999994,58.791722,36.309284,17.625999999999998,8.126687,84.65
rec2_only,1,2026Q1,India,28.832275047799993,28.832275047799993,28.832275047799993,8.0,8.0,8.0,46.630735780799995,19.170401434977578,16.58499368035787,55.65415699999999,18.771287,51.527429000000005,19.67744,18.516,5.005922,58.83
rec2_only,1,2026Q1,Israel,27.65212443879999,27.65212443879999,27.65212443879999,9.0,9.0,9.0,39.33287399306666,19.141719615932473,22.95921425376169,39.53744699999999,30.116510999999996,57.058828,20.810449000000002,16.988,17.216745,43.91
rec2_only,1,2026Q1,Japan,22.934060240999997,22.934060240999997,22.934060240999997,12.0,12.0,12.0,20.479713075200003,25.078310421524666,23.371209259861732,9.805549,40.800648,40.613047,20.311903,31.23,10.053349,71.96
rec2_only,1,2026Q1,Singapore,33.038641044599984,33.038641044599984,33.038641044599984,4.0,4.0,4.0,51.814709428799986,18.36979568662622,27.01966435136234,56.248363999999995,42.13708899999999,45.990356,20.415143,15.729999999999999,12.547448000000001,79.82
rec2_only,1,2026Q1,South Korea,37.781293510599994,37.781293510599994,37.781293510599994,3.0,3.0,3.0,31.255939021866666,51.83606237509893,26.064518629524198,21.777202999999997,48.873993999999996,50.010816000000005,25.094224,86.35000000000001,9.225467,87.5
rec2_only,1,2026Q1,Spain,22.141652517199994,22.141652517199994,22.141652517199994,13.0,13.0,13.0,32.182436782399996,11.25003292218412,23.620785860105734,28.328127999999992,30.508564999999997,57.942934,14.789403,6.6819999999999995,5.075851,91.28
rec2_only,1,2026Q1,UAE,25.56516333899999,25.56516333899999,25.56516333899999,11.0,11.0,11.0,39.10831308586666,8.077257411764707,31.87254024806832,34.13514299999999,50.14824,45.262485999999996,7.100418,9.338,18.302879,81.38
rec2_only,1,2026Q1,United Kingdom,32.50625984399999,32.50625984399999,32.50625984399999,6.0,6.0,6.0,37.38945935893333,30.127651992614076,28.72639167954453,35.37574299999999,31.680918,60.76709700000001,40.96081399999999,16.146,13.899698,82.82
rec2_only,1,2026Q1,United States of America,76.66639400359998,76.66639400359998,76.66639400359998,1.0,1.0,1.0,73.72280236693332,74.9313144711158,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.004,85.5956,77.39
